headline,date
"I truly understood the appeal of Ron Paul, but his son, @RandPaul, didn't get the right gene.",9/12/2015
"Too many people on stage for debate. @RandPaul at 11th, with 2% in @RealClearNews, shouldn't be allowed to participate.",9/12/2015
I am having a great time in Iowa at Jack Trice Stadium! Unbelievable people.,9/12/2015
"Had a record crowd in Boone, Iowa. A fantastic day--- we will #MakeAmericaGreatAgain https://t.co/octCvAYQOO",9/12/2015
"""@BigBrotherKat: I hated to love it, but @realDonaldTrump was hilarious on @jimmyfallon last night! @nbc #thedonald""",9/12/2015
"""@Edward1:Trump Knows how to get things done. He has guts to say what needs to be said. He'll deal with Putin more effectively than anyone.""",9/12/2015
"""@joeearle: @Pistol044 There's only one I'll never support: @realDonaldTrump",9/12/2015
"""@DaveInKeno: Mr. Trump, Sir, this country is, and has been, on a path of self destruction and needs you to MAKE AMERICA GREAT AGAIN!""",9/12/2015
"""@jeffraykovich: @realDonaldTrump Are you going to come to Wisconsin in the near future?#Trump2016 #MakeAmericaGreatAgain"" Yes.",9/12/2015
"""@whyWinblo: @realDonaldTrump please make this country great again &amp; help secure our borders Mr. Trump, you're our last hope. #Trump2016""",9/12/2015
"""@Mey: I don't know how any American can watch this video and not want to vote for @realDonaldTrump #TeamTrump 🇺🇸 https://t.co/387cDb55nH""",9/12/2015
"""@Hashtag1USA: @realDonaldTrump Trump rocked Iowa today heard his message was positive and built much enthusiasm among the voters #Trump2016",9/12/2015
"Why is someone like George Pataki, who did a terrible job as Governor of N.Y. and registers ZERO in the polls, allowed on the debate stage?",9/13/2015
"""@Doctr__Wang @CNN Nice! I love how Trump has a way of putting people on the spot. I wonder what CNN will do. The Veterans appreciate it!""",9/14/2015
"My honor, thank you.  https://t.co/0wKLnSIss6",9/14/2015
Congrats to my friend @Schwarzenegger who is doing next season’s  Celebrity Apprentice. He'll be great &amp; will raise lots of $ for charity.,9/14/2015
"To all my fans, sorry I couldn’t do The Apprentice any longer—but equal time (presidential run) prohibits me from doing so. Love!",9/14/2015
"Thanks Mark, will be fun. https://t.co/hzlkPLebET",9/14/2015
My opponents big bosses--lobbyists and donors--are trying to do damage. They will fail! Money down the drain!,9/14/2015
Looking forward to joining @V4SA Tuesday 9/15 in L.A. aboard the @USSIowa - The Battleship of Presidents! Join us! http://t.co/oiPQsJt7fh,9/14/2015
The event with me and @V4SA in L.A on 9/15 is turning out to be huge. Get your tickets before they're gone http://t.co/oiPQsJt7fh,9/14/2015
"Vets mistreated, NO border security? I’m with @V4SA this Tuesday 9/15 to #MakeAmericasMilitaryGreatAgain! Join us! http://t.co/oiPQsJt7fh",9/14/2015
Unbelievable crowd in Dallas! https://t.co/9HNgVyBJEz,9/15/2015
Speech in Dallas went really well. Big and wonderful crowd. Just arrived in L.A. Big day tomorrow!,9/15/2015
"I will rebuild the military, take care of vets and make the world respect the US again! Join me today. Info: http://t.co/oiPQsJt7fh",9/15/2015
Loved Dallas and the tremendous crowd last night. Will be back!,9/15/2015
Our vets are treated like 3rd class citizens. Enough! Join me &amp; @V4SA on @USSIOWA at LA Waterfront to hear my plan for vets &amp; the military!,9/15/2015
Am now in L.A. Will be going to the U.S.S. IOWA at 5:30 P.M. to speak to our great VETERANS and other friends!,9/15/2015
"Little respected Club For Growth asked me for $1,000,000 - I said ""NO"". Now they are spending lobbyist and special interest money on ads!",9/15/2015
"My plan will lower taxes for our country, not raise them. Phony @club4growth says I will raise taxes—just another lie.",9/15/2015
.@club4growth asked me for $1 million. I said no. Now falsely advertising that I will raise taxes. I’ll lower big league for middle class.,9/15/2015
Everyone is talking about the incredible event we had in Dallas last night. Spectacular crowd &amp; arena! Thank you @mcuban.,9/15/2015
The polls are really looking good—#1 everywhere despite all lobbyist &amp; special interest $ being spent against me. I’m turning down millions.,9/15/2015
".@rushlimbaugh Rush, I am in LA inspecting property (big job creator) &amp; listening to you. You are truly fantastic--thanks!",9/15/2015
"Just finished the wonderful event on the U.S.S. Iowa. VETERANS FOR A STRONG AMERICA endorsed me. Such a great honor, thank you!",9/16/2015
"I hope Arnold S. does well with the Apprentice because he is a nice guy and also, because I get a big percentage of the profits!",9/16/2015
"""@97Musick: @AC360 @CNN The ""sold to lobbyists"" candidates are wasting their money. ON the BORDER and IMMIGRATION, Trump WILL win.""",9/16/2015
"""@almy23841665: @DlSCORD @realDonaldTrump More Veterans will vote for Trump than you can believe! I can't imagine they wouldn't!",9/16/2015
"""@chriscoxb2b: @realDonaldTrump - Donald...keep pushing...the nation needs a real leader.""",9/16/2015
"""@PMgeezer: Only 15 percent of @GOP voters said they would not back @realDonaldTrump as the party’s standard-bearer. http://t.co/hqt7WXTepm""",9/16/2015
"""@skulls2001: We are a Cuban family from Miami Florida and would love very much to work on your political campaing here in Miami."" Great.",9/16/2015
"""@onesoldiersmom: @seanhannity @MarkSteynOnline  No one can imitate Trump. He's one of a kind. I love him more each day. #Trump2016""  Thanks",9/16/2015
"Will be heading over to the debate soon. Can you believe @CNN is ""milking"" it for almost 3 hours? Too long, too many people on stage!",9/16/2015
A great honor from somebody that knows how to win! https://t.co/syJH9OT0zX,9/16/2015
"Thank you to Tom Brady, Coach Ditka, Coach Bobby Knight and all of the many champions that have been so supportive!",9/16/2015
#CNNDebate Winning the @drudge_report poll- http://t.co/fokcASBVuN,9/17/2015
The #CNNDebate was amazing --- so much fun! http://t.co/tj3Cnqp3PU,9/17/2015
#CNNDebate http://t.co/X4m9WfewX2,9/17/2015
#CNNDebate http://t.co/0r8fc2zzvY,9/17/2015
"Just announced that in the history of @CNN, last night’s debate was its highest rated ever. Will they send me flowers &amp; a thank you note?",9/17/2015
"Every poll done on debate last night, from Drudge to Newsmax to Time Magazine, had me winning in a landslide. #MakeAmericaGreatAgain!",9/17/2015
Going to New Hampshire in a little while. Big crowds! #MakeAmericaGreatAgain!,9/17/2015
Will be interviewed tonight by @seanhannity on @FoxNews at 10 PM. Enjoy!,9/17/2015
Would be really bad if columnist Mike Lupica left the @NYDailyNews.  A wonderful and talented guy!,9/17/2015
"Wow, great post-debate poll: ""Trump Increases Lead"" via Breitbart  http://t.co/B3yJk2lJ8I",9/18/2015
"GIVE AMERICA BACK ITS DREAM!  
  -- Donald J. Trump",9/18/2015
I’ve just released my position papers on The Second Amendment. https://t.co/ssFXVGWTIP,9/18/2015
Looking forward to meeting the students of Urbandale High School tomorrow- http://t.co/Urj3Tic2e3,9/18/2015
Am I morally obligated to defend the president every time somebody says something bad or controversial about him? I don't think so!,9/19/2015
This is the first time in my life that I have caused controversy by NOT saying something.,9/19/2015
"If someone made a nasty or controversial statement about me to the president, do you really think he would come to my rescue? No chance!",9/19/2015
"If I would have challenged the man, the media would have accused me of interfering with that man's right of free speech. A no win situation!",9/19/2015
"Christians need support in our country (and around the world), their religious liberty is at stake! Obama has been horrible, I will be great",9/19/2015
On my way to Iowa. Will be landing in Des Moines in two hours. See ya!,9/19/2015
#MakeAmericaGreatAgain #Trump2016 http://t.co/O5v9oX3pyd,9/19/2015
A great night in Iowa! https://t.co/vfCRhwTkTU,9/20/2015
Thank you Faith and Freedom Forum &amp; @UrbandaleSchool. I had a great time in Iowa today! http://t.co/PeEEHTVtC8,9/20/2015
"""@MoeHoward86: THE best interview thus far...keep it up Trump! Donald Trump: ""Enough With the Nice!"" https://t.co/3sOY0pTCNB via @YouTube""",9/20/2015
"""@LeghanLiptak712: CNN tried to destroy Donald Trump with vaccine autism question, but he gave this AMAZING response http://t.co/nQttFpyzaC""",9/20/2015
"I will be on @meetthepress at 10:30. @nbc will be releasing their new poll numbers. Based on the debate results, I should do well-who knows?",9/20/2015
There is no way that Carly  Fiorina can become the Republican Nominee or win against the Dems. Boxer killed her for Senate in California!,9/21/2015
"I have been leading big in all  polls, with two more today, @nbc and @CNN. The NBC poll is more than double next,  at 29%. Fiorina has 11%.",9/21/2015
"I am attracting the biggest crowds, by far, and the best poll numbers, also by far.   Much of the media is totally dishonest. So sad!",9/21/2015
"We are going to WIN and MAKE AMERICA GREAT AGAIN, maybe better than ever before!",9/21/2015
"Carly Fiorina did such a horrible job at Lucent and HP, virtually destroying both companies, that she never got another CEO job offer! Pres.",9/21/2015
"""@SaijoSaijo75: @realDonaldTrump thank you for your personal and financial sacrifices to make america great again!""",9/21/2015
Will be on @foxandfriends  now. Enjoy!,9/21/2015
The @TODAYshow refused to use their just in poll numbers where I have a massive lead but instead used @CNN numbers where my lead is smaller.,9/21/2015
"""@MNTwisterChaser: Thanks @SavannahGuthrie and @NBCNews for showing us how lopsided you are! Use your own poll! #trainwreck #Trump2016",9/21/2015
"""@PaulkDebra: @TODAYshow @realDonaldTrump I totally support you! You have this Ga. Girl's vote!!!""",9/21/2015
"""@TheBrodyFile: On the Muslim issue: It might help @BarackObama if he didn't take five years to visit Israel""",9/21/2015
"""@TheBrodyFile: On the Muslim issue: It might help @BarackObama if he actually supported Christians religious liberty rights.",9/21/2015
"""@nunyabus1: @realdonaldtrump @foxandfriends you go trumpy, don't back down""  I won't.",9/21/2015
"""@JohnSte38475254: @realDonaldTrump @FoxNews  ...Why is Fox being so hard on u? I don't get it...are they idiots?""",9/21/2015
"""@Dis_labeledVet: @realDonaldTrump here is a Clinton insider who admitted Hillary started the whole Obama's a Muslim https://t.co/UqkW16u3Kz",9/21/2015
"""@talsept58: @realDonaldTrump @foxandfriends You are great!!""",9/21/2015
"""@mickelsenkyle: @TODAYshow could you make your interview with @realDonaldTrump any more biased or... #TrumpForPresident""",9/21/2015
"""@linley4067_jane: @realDonaldTrump @foxandfriends Fox is using you for ratings. They want u out of the race. Refuse.""",9/21/2015
"""@alivelutheran: @TODAYshow touts CNN polls instead of their own!! Of course, the NBC one shows him much higher. Trump corrects them!",9/21/2015
"New Zogby poll— highly respected— but the media won’t report it because it gives me an even bigger lead!
   
  http://t.co/YAZyKwVxNJ",9/21/2015
#AskTrump Send me your questions to answer live from @TwitterNYC later this afternoon.,9/21/2015
Carly Fiorina is terrible at business--the last thing our country needs! http://t.co/n7lO0llhK8,9/21/2015
Jeb has been confused for forty years- https://t.co/MoqjlnwryJ,9/21/2015
Has the media picked up the new Zogby poll that was just put out? I doubt it! http://t.co/YAZyKwVxNJ,9/21/2015
#AskTrump Getting ready to answer your questions. http://t.co/MiSqyasjhu,9/21/2015
.@dixierhilton #asktrump http://t.co/dbK8jckT5s,9/21/2015
.@MarketMavensInc #asktrump http://t.co/6uShpC3BM2,9/21/2015
.@EliseChristine #asktrump http://t.co/KV1NPNYJTC,9/21/2015
.@KyleStephens30 #asktrump http://t.co/gjudtw87K7,9/21/2015
.@HighSock_Sunday #asktrump http://t.co/qVakUzXZAb,9/21/2015
.@ARealSuperMan #asktrump http://t.co/x2j6yiaBzU,9/21/2015
.@Modern_Do_Good #asktrump http://t.co/I7AaH7AVRw,9/21/2015
.@joycefinance #asktrump http://t.co/P8CwErG0lt,9/21/2015
.@MarieLeff #asktrump http://t.co/ufCLFKeFrN,9/21/2015
.@_Just_Mads_ #asktrump http://t.co/zElKKmMjTU,9/21/2015
I just wrapped up a Q&amp;A @TwitterNYC. Thanks for all your questions! #AskTrump http://t.co/zpbcRHfxy6,9/21/2015
I had a great time at @TwitterNYC #AskTrump http://t.co/RfWQdDPB33,9/21/2015
#AskTrump @TwitterNYC http://t.co/hJHO1Rk06y,9/21/2015
"""@JudgeMoroz  Zogby is respected in the business of polling ~ the media is attempting to silence the message @realDonaldTrump""",9/21/2015
Thank you Dan--I agree! Best wishes. https://t.co/DAEomTNoMq,9/21/2015
I got to know @ScottWalker well—he’s a very nice person and has a great future.,9/21/2015
I will be interviewed tonight at 7pm ET by @greta #OnTheRecord,9/21/2015
Via HuffPost Pollster #1 http://t.co/IXCbCtDUIp,9/21/2015
"""@alivelutheran: @TODAYshow touts CNN polls instead of their own!! Of course, the NBC one shows him much higher. Trump corrects them!",9/22/2015
.@oreillyfactor was very negative to me in refusing to to post the great polls that came out today including NBC. @FoxNews not good for me!,9/22/2015
".@oreillyfactor, why don't you have some knowledgeable talking heads on your show for a change instead of the same old Trump haters. Boring!",9/22/2015
"""@RagingCynicism: @realDonaldTrump @oreillyfactor they're not Trump haters. They're spoon fed morons.""",9/22/2015
"""@Patrick92299179: @realDonaldTrump @oreillyfactor Couldn't agree more!""",9/22/2015
"""@bewhatjesuswas: @oreillyfactor @FoxNews You dominate not because of them-but despite them;They need you more than you need them""",9/22/2015
"""@coolgirl6978:  @oreillyfactor @FoxNews this is bull fox. O'Reilly, I expect better from you. What is going on? Fair and balanced my ass""",9/22/2015
"""@tammyhorne19: @realDonaldTrump @oreillyfactor love you trump""",9/22/2015
"""@blewthebigone: @realDonaldTrump Can't even think what the race would be without you in it.""",9/22/2015
"""@diannrr: @megynkelly Do you dream about @realDonaldTrump? He's in your head. Let it go."" She is the worst - all anti-Trump! Terrible show.",9/22/2015
"""@john_dipaolo: @realDonaldTrump will get out disaffected Repub base voters as well as Democrats looking for a real choice on immigration.",9/22/2015
I am having a really hard time watching @FoxNews.,9/22/2015
.@RichLowry is truly one of the dumbest of the talking  heads - he doesn't have a clue!,9/22/2015
"""@ellenEspence: @marklevinshow Thank you for maintaining your integrity during this disgusting lynching of @realDonaldTrump""  Thanks Mark!",9/22/2015
"""@waynearmstron10: @realDonaldTrump you must be relentless and maintain energy, and respond as you have been. It's a marathon.""  True.",9/22/2015
"""@PhyllisA: @Hopeisalive66 @jdanielmoore @theblaze @megynkelly @realDonaldTrump that's ok! The more they talk the better POTUS Trump looks!""",9/22/2015
"""@joeoh89: @seanhannity  @realDonaldTrump What happened to The Pledge? Walker quits and slams Trump. Losers proving Pledge was sham.""",9/22/2015
"""@TheMindWave:  @FoxNews Im not sure why u r giving them this much importance, they had wanted to take u down in debate and they failed!!""",9/22/2015
"""@seleti00: @realDonaldTrump @FoxNews They attack you more then CNN or MSNBC combined. Just a bunch of old Bush appointee Rhinos.""",9/22/2015
"""@madscape: @realDonaldTrump @FoxNews and millions will agree with you! Most of us on twitter now view OAN network""",9/22/2015
"""@ethansimmons111: @AllRepublicans @Ecsullie @RagingCynicism @FoxNews @oreillyfactor @KarlRove Karl Rove is a JOKE OWNED BY the BUSH family""",9/22/2015
"""@JodiL792:  @FoxNews I have been since you started running &amp; I noticed Meghan Kelly's attacks. Stopped watching. Only Hannity 4 sure."" Yes!",9/22/2015
"""@AngelaTribble: @realDonaldTrump WE LOVE YOU DONALD TRUMP BECAUSE WE KNOW YOU ARE THE ONLY ONE TO #MakeAmericaGreatAgain"" Thanks.",9/22/2015
"""@wallen_jeanine: @realDonaldTrump I can only watch Hannity. I think he is the only one in your corner""",9/22/2015
"""@VickyBrush:  Do what most of us are doing! Turn off @FoxNews! There is a major boycott going on with them, anyway. Problem solved!",9/22/2015
"""@bobby990r_1: @MediaBiasAlert  @megynkelly @realDonaldTrump is fighting for middle class and veterans! Discussing trade deals.""",9/22/2015
"""@EdwardChelednik: @realDonaldTrump @FoxNews Hey Donald your not alone. I can't watch it at all. Used to be all i watched.",9/22/2015
"""@glendabelle_11: @FoxNews Fox has become a supporter of Liberals!They are Not supporting the GOP candidates-especially Trump! Quit watching",9/22/2015
"""@JimClarkFarrier: @Rockprincess818 @LeahR77 @realDonaldTrump is the only one who can get us out of this mess!""  True!",9/22/2015
"""@MiriamRoseMc:  #TRUMp2016 would be the best for the country, jobs, trade and taxes - all others are status quo #MakeAmericaGreatAgain""",9/22/2015
"""@IgnatiusGReilly: @charlescwcooke @realDonaldTrump @FoxNews will you cry when Marco Amnesty loses nomination?""",9/22/2015
"""@BradANGSA:  Trump is the only candidate telling the truth... the GOP is planning to stab Trump in the back... https://t.co/xhqhUVXrsx""",9/22/2015
"""@HuskerPower811: @celestefick @realDonaldTrump Have you listened to his plans for Vets when he takes office? They're Incredible!!""",9/22/2015
"""@JimShellenback: @realDonaldTrump @EdwardChelednik @FoxNews I steer away from Fox now. Never thought that would happen.""",9/22/2015
"2016 Republican Primary Morning Consult Poll was just released. TRUMP 32, CARSON 12, BUSH 11, FIORINA 6, RUBIO 5, CRUZ 5. Taken after debate",9/22/2015
"Morning Consult poll: ""Trump Leads""  http://t.co/61LFN0pfSw",9/22/2015
Yom Kippur blessings to all of my friends in Israel and around the world. #YomKippur,9/22/2015
I will be on the @colbertlateshow tonight at 11:30 http://t.co/BnCG1XqvcW,9/22/2015
"Senator Marco ""amnesty"" Rubio, who has worst voting record in Senate, just hit me on national security-but I said don't go into Iraq. VISION",9/23/2015
Do you ever notice that lightweight @megynkelly constantly goes after me but when I hit back it is totally  sexist. She is highly overrated!,9/23/2015
"I think @megynkelly should take another eleven day ""unscheduled"" vacation.",9/23/2015
"Just remember, the birther movement was started by Hillary Clinton in 2008. She was all in!",9/23/2015
I will be the featured guest on the season opener of  @60Minutes this Sunday. There certainly is plenty to talk about!,9/23/2015
I will be doing @colbertlateshow at 11:30 on CBS. Enjoy! http://t.co/VDzpYct3Aq,9/23/2015
"""@Mark60644:  @megynkelly still cannot figure out this massive base of support for Trump is because he is anti- politician. #Trump2016""",9/23/2015
".@JuliInkster  Congratulations on your great win--what a captain, what a champion!",9/23/2015
"Headline reads"" Rubio passes Bush in Florida poll"" -- Unfair, because Trump destroys them both! Trump 31.5%, Rubio 19.2%, Bush 11.3%",9/23/2015
"Yogi Berra was not only a great baseball player, he was a great guy. Yogi will be missed. https://t.co/bC9pIOnmEh",9/23/2015
.@FoxNews has been treating me very unfairly &amp; I have therefore decided that I won't be doing any more Fox shows for the foreseeable future.,9/23/2015
Wow! What a great night. Thank you to all of the viewers and congratulations to @StephenAtHome http://t.co/5rq2iMpHx6 @colbertlateshow,9/23/2015
Incompetent @RichLowry lost it tonight on @FoxNews. He should not be allowed on TV and the FCC should fine him!,9/24/2015
.@FoxNews owes me an apology for allowing clueless pundit @RichLowry to use such foul language on TV. Unheard of!,9/24/2015
Will be on @CNN at 7:00 A.M.,9/24/2015
Will be on @Morning_Joe at 6:30 A.M.,9/24/2015
So happy about my daughter @IvankaTrump’s announcement that she will be having a baby this spring. Congratulations!,9/24/2015
New Bloomberg Poll: Trump Leads Big http://t.co/Eu0rMDbUPW,9/24/2015
"Despite the establishment and the media’s best efforts, the people are speaking loudly and clearly. Thank you to my amazing supporters!",9/24/2015
Dishonest @nytimes reporter Jonathan Martin refused to acknowledge massive crowd surge forward… https://t.co/9Emtq4NdbZ,9/24/2015
".@politico, which is not read or respected by many, may be the most dishonest of the media outlets--- and that is saying something.",9/24/2015
"The failing @politico news outlet, which I hear is losing lots of money, is really dishonest!",9/24/2015
"Wow, a really nice lead in New Hampshire--- an increase since my last poll! http://t.co/Cr0OOd5Loi",9/24/2015
"""@yayala19: @politico WHEN THE OTHER CANDIDATES ARE TALKING POLITICS TRUMP IS TALKING SOLUTIONS. HE IS THE MOST TALENTED CANDIDATE.""",9/25/2015
"Just watched @marcorubio on television. Just another all talk, no action, politician. Truly doesn't have a clue! Worst voting record in Sen.",9/25/2015
"""@yayala19:  @marcorubio WHAT THE LOBBYISTS, THE MEDIA AND CAREER POLITICIANS WILL DO NEXT TO TRY TO STOP TRUMP? SILENT MAJORITY IS BACK""",9/25/2015
"""@JoeMarzocco: @realDonaldTrump They attack Trump for not giving policy http://t.co/oEnDff1jkD is the most important detail, he WINS.""",9/25/2015
"""@Rketeltas:  @JoeMarzocco Waiting for the biased media to write about the 30,000 Carly fired as a failed CEO. America is for Trump!""",9/25/2015
Great reception in D.C. At the Values Voter Summit. Now checking on my job at the Old Post Office...,9/25/2015
.....Ahead of schedule and under budget! Will be in Oklahoma tonight!,9/25/2015
I am now inspecting the Old Post Office on Pennsylvania Avenue - will be a great hotel. Soon off to the Oklahoma State Fair!,9/25/2015
At the Old Post Office- http://t.co/8Rs1fbcAIz,9/25/2015
"Dishonest @politico just called to say that none of the polls including Fox, NBC, CNN, Zogby, &amp; Morning Consult matter. Serious haters.",9/25/2015
.@MarcoRubio is weak on illegal immigration and will allow anyone into the country.....,9/25/2015
.....Has worst attendance record in Senate- rarely there to vote on a bill! @marcorubio,9/25/2015
.@TheHill- Trump on Boehner resignation: 'It's a good thing' http://t.co/flB93n4FoK,9/25/2015
".@THR ""The Donald Trump Ratings Bump: Who's Benefiting Most?"" http://t.co/uNdO1kRfus",9/25/2015
I will be on @cbs @60minutes this Sunday. A great honor-- hope you enjoy it.,9/25/2015
Thank you @FrankLuntz  https://t.co/gpJBNXKV3e,9/26/2015
Just left Oklahoma--- the most amazing crowd and people! What a night!,9/26/2015
An updated POLL tracker (with all polls thru the weekend) reveals I maintained a double digit lead at… https://t.co/FGxhzluIJA,9/26/2015
"""@Vote_Trump:  Think about it. When's the last time a Prez actually did what he said? TRUMP does what he says. Will Be Greatest Prez Ever""",9/26/2015
"""@realDonaldTrump: I will be on @cbs @60minutes this Sunday. A great honor-- hope you enjoy it.""",9/26/2015
"Lightweight Senator Marco Rubio is VERY weak on immigration, knows nothing about finance and would be incapable of making great trade deals!",9/26/2015
"""@taurus82409: @CBS @60Minutes Look forward to it, Donald. You are doing Great! Please keep up the fight, many of us are behind you 100%!!",9/26/2015
"""@Karentalk: @RogerJStoneJr  @megynkelly Fiorina is not surging..she is begging for money..and she owns this. http://t.co/kOkyNtWkeE""",9/26/2015
"Marco Rubio is a member of the Gang Of Eight or, very weak on stopping illegal immigration. Only changed when poll numbers crashed.",9/26/2015
"""@TheIntellect111: @realDonaldTrump Mr Trump Please Do not give in.You are Changing History. We Need you as our Next Leader, Its Your Time""",9/26/2015
"""@FreeStateYank: Ex-wife Ivana Trump says @realDonaldTrump can win, likely WILL win, and will be a great President. http://t.co/kI1xij3v6w""",9/26/2015
"""@itsblakec: @realDonaldTrump we are tired of lies. Trump 2016""",9/26/2015
"""@JokerzWild_: @realDonaldTrump @TheIntellect111 Trump will win, I know it.""",9/26/2015
"""@Incazzato2015: @realDonaldTrump Time for real change, TRUMP 16""",9/26/2015
Hope we all enjoy  @60Minutes tomorrow night. I do believe they will treat me fairly!,9/26/2015
"""@truthshallbe: @60Minutes @realDonaldTrump Been watching!!! Brilliant Mr. Trump, he is so Awesome!! And real.""",9/28/2015
"""@MeOnAJourney @realDonaldTrump Imagine that, an American president standing up for the American people! Go Trump Go! #Trump2016""",9/28/2015
"""@midwestcaucus:  @60Minutes Great interview,Trump ruled. Great response 2 Trade War claim. All anyone has 2 do is look at foreign tariffs",9/28/2015
"""@Rketeltas: @realDonaldTrump While the former KGB Putin gets softballs, Trump gets the Matt Harvey fastball and hits it out of the park.""",9/28/2015
"""@greta: . @realDonaldTrump announces his tax plan tomorrow morning http://t.co/bQ0Xjs63XH""",9/28/2015
"""@Apipwhisperer: @MarkPavelich @gentlemanirish @60Minutes  EXCELLENT WATCHING PUTIN'S BRILLIANCE AND TRUMP'S. @CBS I LOVED THE INTERVIEWS.""",9/28/2015
"""@SkyeShepard: Trump went way up in my 'poll' when he said he'd take money from what US is giving 2 other countries 2 save social security""",9/28/2015
"""@JennaLeeUSA: When asked why he has his own magazine covers on his walls - @realDonaldTrump replies: ""It's cheaper than wall paper..."" Ha!",9/28/2015
"""@AdiosLiberty: @60Minutes @realDonaldTrump @ScottPelley Haven't seen that much hatred in an interviewer since the 1st debate. #trump2016""",9/28/2015
"""@yang_karl: All Scott Pelley did by being disrespectful was make it easier to make up my mind who to vote for and that will be Trump.""",9/28/2015
"""@JodiL792: @DefendingtheUSA @america_trump @60Minutes Thats exactly what I thought. We haven't had great leader since Reagan&amp;now Trump""",9/28/2015
"""@fanodale: @60Minutes @realDonaldTrump watched 60 mins first time ever. Love Trump hate Scotty""",9/28/2015
"""@ReversingASD: @60Minutes notice how your twits about @realDonaldTrump are the most RT!  We the American ppl love and want #Trump2016 !""",9/28/2015
Looking forward to press conference on taxes at 11AM at @TrumpTowerNY.,9/28/2015
"LIVE on #Periscope: Tax Plan Press Conference
#Trump2016  https://t.co/DQQS5d9R3O",9/28/2015
I know you will enjoy reading my tax plan- http://t.co/FxtUQNXEFH #MakeAmericaGreatAgain,9/28/2015
"""@SpurrellJulie  First time in my life I wish I was an American citizen so I could vote for @realDonaldTrump !!""",9/28/2015
Thanks. http://t.co/SXUUL7l8vp https://t.co/FbNl1G5Awg,9/28/2015
Will be doing @OutFrontCNN with @ErinBurnett tonight at 7 pm re: tax reductions and various other topics.,9/28/2015
Conservative? Jeb Bush doubled Florida State debt!http://t.co/kDOyCqwuqI,9/28/2015
Zogby Poll: Trump Widens Lead After GOP Debate  http://t.co/YAZyKwVxNJ,9/28/2015
"""The GOP Debate Scorecard: Donald Trump and Energy""  by Wayne Allyn Root. http://t.co/MmFJeGRNf8",9/28/2015
"Wow, the ratings for @60Minutes last night were their biggest in a year--- very nice!",9/28/2015
Do you believe this - Iran wants to trade our 3 prisoners (not 4) for 19 prisoners held by the U.S. Should have been let go with last deal!,9/28/2015
"""@polina6: @realDonaldTrump MAN WITH A PLAN-THE BEST TAX PLAN! GO TRUMP 2016!""",9/29/2015
Prediction: Rand Paul has been driven out of the race by my statements about him-- he will announce soon. 1%!,9/29/2015
I hope when Rand Paul gets out of the race—he is at 1%--his supporters come over to me. I will do a much better job for them.,9/29/2015
"Definitely watch @Carl_C_Icahn ‘s ‘Danger Ahead’. Very insightful, particularly on how corp inversions hurt America: http://t.co/PJN89SwvTF",9/29/2015
"Carl Icahn said this about me:  ""I think at this moment in time, he’s the only candidate that speaks out about the country’s problems.""",9/29/2015
Great! https://t.co/Je440dDZbs,9/29/2015
"I watched lightweight Senator  Marco Rubio, who is all talk and no action, defend his WEAK position on illegal immigration. Pathetic!",9/30/2015
"Just read that ""Trump"" has the largest (and I add most enthusiastic) crowds. Tonight I will be in New Hampshire - the place will be packed!",9/30/2015
"""@kissmeandrocco: @realDonaldTrump who ever thinks Donald trump is a bad person u just don't want a good country"" Thank you.",9/30/2015
Rubio is totally owned by the lobbyists and special interests. A lightweight senator with the worst voting record in Senate. Lazy!,9/30/2015
Highly respected economist @Larry_Kudlow is a big fan of my tax plan—thank you Larry. http://t.co/VT8Y7c8PSn,9/30/2015
"Anyone reading this profile of Marco Rubio would never vote for him. Never made ten cents &amp; is totally controlled!
http://t.co/KA0LvfFJfM",9/30/2015
Great news! Just out--the highly respected USA Today/Suffolk University Poll. Enjoy! https://t.co/11pDloDTHV,9/30/2015
"Wow, so nice! Thank you Wayne Allyn Root. http://t.co/dZuLHDZSoI",9/30/2015
"Interesting, polls on who won the GOP debate. http://t.co/iB6NGQsg5v",9/30/2015
I will be interviewed by @donlemon tonight on @CNN at 10PM.,9/30/2015
"""Trump’s Tax Plan: A Proposal Reagan Would Approve?"" by Jeff Bell
  http://t.co/KmPeSwvslr",9/30/2015
"""@Hashtag1USA: I just watched D Trumps interview on @CNN i get more impressed everytime i hear him speak! @realDonaldTrump #Trump2016-Thanks",10/1/2015
"""@jaycatalyst1: @realDonaldTrump Univision execs are hypocrites.They dish out the most discrimination. You should highlight that point.""",10/1/2015
"""@AnnieClarkCole: How can anyone vote for Hillary when she careless with emails that jeopardize our security. She is not to be trusted.""",10/1/2015
"""@angeloftruth11: @realDonaldTrump great interview with @donlemon. Thank you.",10/1/2015
"""@CFT1: .@realDonaldTrump Great interview on @CNN @donlemon @CNNTonight #MakeAmericaGreatAgain #Trump2016 #TRUMP""",10/1/2015
"""@TIMENOUT: @CNN @donlemon congratulations Don that was a great interview @realDonaldTrump""",10/1/2015
"""@sternbutgreg: @realDonaldTrump is pulling away from the pack. I live in Iowa. It's real."" Thank you!",10/1/2015
"Just got back from New Hampshire. Great crowd, great people! Will be back soon!",10/1/2015
"""@WMikeW: It's hard to get through corrupt media filter but Trump is doing it. Check out 9/30/15 @donlemon int'view https://t.co/MR6U8qtrbk""",10/1/2015
